0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:28:46 +0900] "GET /resources/image/main-image/italian-venezia-7700549_1920.jpg HTTP/1.1" 200 1064241
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:29:48 +0900] "GET / HTTP/1.1" 200 6248
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:29:48 +0900] "GET /resources/css/common.css HTTP/1.1" 200 4907
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:29:48 +0900] "GET /resources/css/user.css HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:29:48 +0900] "GET /resources/css/input.css HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:29:48 +0900] "GET /resources/image/main-logo/landmark-logo2.png HTTP/1.1" 200 63558
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:29:48 +0900] "GET /resources/js/slider.js HTTP/1.1" 200 3346
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:29:48 +0900] "GET /resources/js/dropMenu.js HTTP/1.1" 200 1701
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:29:48 +0900] "GET /resources/image/main-image/sapporo-snow-festival.png HTTP/1.1" 200 414194
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:29:48 +0900] "GET /resources/image/main-image/dragon-224930_1920.jpg HTTP/1.1" 200 489801
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:29:48 +0900] "GET /resources/image/main-image/italian-venezia-7700549_1920.jpg HTTP/1.1" 200 1064241
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:29:48 +0900] "GET /resources/image/main-image/japan-419763_1920.jpg HTTP/1.1" 200 542183
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:29:48 +0900] "GET /resources/image/main-image/lucerne-4285441_1920.jpg HTTP/1.1" 200 612757
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:29:48 +0900] "GET /resources/image/main-image/kinkakuji-japan-2328557_1920.jpg HTTP/1.1" 200 757263
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:29:51 +0900] "GET /package/register HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:29:53 +0900] "POST /package/register HTTP/1.1" 302 -
